id,name
2615,18 restricted
2689,1920s
3895,1960s
6097,3D CG animation
6415,3D CG closing
2805,4-koma manga
7261,4-koma manhua
7260,4-koma manhwa
7784,ability stealing
7320,aboard aeroplane
7317,aboard ship
2651,absurdist humour
5850,absurdly powerful student council
6903,acrobatic diving
2280,acrobatics
2841,action
2802,action game
7075,adapted into Japanese movie
4224,adapted into JDrama
7330,adapted into manga
7331,adapted into novel
7332,adapted into video game
3202,adoring fan club
5626,adults are useless
2850,adventure
2835,Africa
5914,afterlife
7642,afterlife world
5651,against destiny
4951,age change
6073,age difference romance
5307,aggressive plants
5973,agriculture
2725,ahegao
8210,ai dubbing
2978,aim for the top
7460,Ainu mythology
4167,air combat
1996,air force
2927,Akihabara
2879,alcohol
3457,Alice`s Adventures in Wonderland
2202,alien
4831,alien invasion
3738,aliens living on Earth
2668,all-boys school
3053,allergy to potential love interests
1279,all-girls school
5227,alternating animation style
2640,alternative past
2642,alternative present
1253,ambitious
4424,American derived
646,American football
7793,American-Japanese co-production
2832,Americas
2555,amnesia
4389,amusement park visit
5779,anachronisms
2717,anal
7403,anal fingering
4741,anal pissing
7005,ancient aliens
7080,Ancient Rome
1278,android
2346,angel
2844,angst
4516,animal abuse
3968,animal protagonist
1835,animal sidekick
5992,animal transforms into weapon
4259,animal world
4087,Animax Taishou
6614,Animeism
5408,Anime no Chikara
6724,Anime no Me
3224,Animerama
5709,Anisun
7169,Antarctic
2857,anthropomorphism
4398,antihero
7988,antiterrorism
2871,anti-war
3615,aphrodisiac
4375,archaeology
2402,archery
1291,aristocrat
1528,artificial intelligence
1758,artificial life form
5735,art nouveau
2666,art school
2834,Asia
5793,Asimov`s Three Laws of Robotics
4927,aspidochelone
7615,assjob
5935,ass-kicking girls
997,association football
4706,astronomy
6619,Asuka period
5150,asymmetric warfare
7238,attempted rape
6997,aunt-nephew incest
2836,Australia
6519,autofellatio
6184,autumn
3421,aviation
4053,babysitting
5789,back to square one
5872,bad luck
2757,badminton
7977,Baihe
2795,baking
2692,Bakumatsu - Meiji Period
125,ballet
3356,banana peel
4462,barefoot
28,baseball
4616,based on real events
2760,basketball
4089,battlefield of dreams
6005,battle of wits
2620,battle royale
2729,BDSM
4327,be careful what you wish for
6537,beer
3094,befriend attack
5299,Belgium
3248,belly dance
3277,bendy lasers
2720,bestiality
4520,betrayal
601,bicycle
1049,bicycling
7934,Big Comic Spirits
774,billiards
4814,biographical film
6328,biological warfare
3572,biopunk
5840,birthday
2391,bishoujo
1760,bishounen
5876,biting
5529,black and white
5993,black humour
5490,blackjack
2845,blackmail
2091,blimp
3896,bloodless wounds
2756,board games
5463,boarding school
4113,body exchange
155,bodyguard
8232,body horror
2983,body sharing
3663,body takeover
2901,bondage
3142,boob cannon
2815,boobs in your face
2828,borderline porn
201,bounty hunter
5746,bousouzoku
6408,bowling
183,boxing
4440,boy meets girl
6019,brainwashing
5593,branching story
2813,Brazil
3854,breast expansion
1363,breast fondling
5871,breathing in space
3874,bridge bunnies
3852,Bright slap
4192,broadcast cropped to 4-3
5956,broken friendship
2484,broom
2739,brother-sister incest
3363,Buddhism
2914,bukkake
2621,bullet time
3741,bullying
5705,butchered foreign languages
2617,calling your attacks
5954,call my name
2814,Canada
3489,car chases
6191,card games
4090,cardiopulmonary resuscitation
1759,carefree
5900,casino
4503,castaway
4218,cast-free
7360,castle
5939,CAST MISSING
3108,catastrophic gadgets
6137,catchphrase
2664,catholic school
2558,cat person
3375,cel-shaded animation
4352,censored uncensored version
6389,cervix penetration
7252,CG collection
4064,CGI
2145,chain
3809,character driven
2487,charismatic
3887,cheating
6718,cheerleading
6327,chemical weapons
2917,chess
7679,Chiba
3020,chibi ED
5119,Chicago
1306,chikan
3915,child abuse
5881,childhood memory
4246,childhood promise
4712,childhood ties
5617,childhood town
4491,children of destiny
1955,child soldier
6402,Chile
2674,China
6351,Chinese mythology
6152,Chinese production
4409,Chinese zodiac
7775,choose your route
4302,Christianity
2880,Christmas
6374,Cinderella
4421,circus
3374,civil war
5917,classical music
4171,claymation
3580,cliffhanger ending
7797,climbing
509,clone
569,clumsy
7251,cockring
7884,coitus interruptus
6745,Cold War
2618,collateral damage
5530,colony dome
4729,colour coded
2751,combat
5820,combat butler -- DO NOT ADD -- TO BE SPLIT AND DELETED
2853,comedy
7134,ComicFesta Anime Zone
2888,coming of age
4610,commercial
4477,communication with the dead
3863,competition
7147,competitive beach volleyball
5546,complete manga adaptation
3323,computer
5077,computer geek
6318,concentration camp
8086,condom
2788,confession
2878,conspiracy
2648,contemporary fantasy
4202,contraband
428,contractor
1973,cooking
3233,cooking curry
1843,corporation
1656,corrupt
4271,corrupt church
7402,corrupt nobility
5807,cosmic reset
2056,cosplaying
42,costumes
2634,countryside
3958,coup d`etat
4397,court politics
6757,courtroom drama
3368,covert operations
3947,cram school
5293,crash landing
2705,creampie
5455,creepy laugh
2872,crime
596,crime syndicate
1616,crippled
2565,cross-dressing
4236,crossover episode
6358,crowdfunded
7131,Crunchyroll Anime Awards
389,crybaby
7438,cultivation
7851,cultivation school
4131,cultural references
2704,cum play
2913,cum swapping
2918,cunnilingus
5585,curse
4138,cute but deadly
7146,cute girls doing cute things
2973,cute monster
7412,cutout animation
2861,cyberpunk
6221,cybersex
3964,cyberterrorism
2180,cyborg
7079,Czech Republic
4215,daikaijuu
2864,daily life
3575,damsel in distress
362,dancing
4153,dark
4084,dark atmosphere
153,dark elf
2649,dark fantasy
5991,dark mood
4812,dark past
2895,dark-skinned girl
3694,dear mother in heaven
7706,death game
3265,death is cheap
7989,deceitful organization
3278,deception
4388,deconstruction
4394,defeat means friendship
2896,deflowering
2568,deity
3975,delayed 16-9 broadcast
4308,delayed death
2069,delinquent
4715,dementia
2646,demon
4184,demon dog
3339,demon hunt
7640,demon world
8081,denmark
3955,DESCRIPTION MISSING
7090,DESCRIPTION NEEDS IMPROVEMENT
2629,desert
3316,despair
4227,detailed landscapes
308,detective
5244,detective agency
5505,deus ex machina
6004,development hell
3977,dialogue driven
5609,dieselpunk
5910,diet
2900,dildos - vibrators
566,dinosaur
2874,disaster
4033,discontinued
4753,disturbing
3146,divorce
4612,Do Androids Dream of Electric Sheep?
6729,documentary
2761,dodgeball
2722,doggy style
659,dojo
587,doll
2461,domestic cat
893,dominatrix
861,doppelganger
7614,double assjob
3299,double fellatio
2724,double penetration
6455,double-sided dildo
4207,doujin
3850,downer ending
2355,dragon
6713,dragon person
3647,drastic change in sequel
4083,drastic change of life
1298,drawing
5883,dreams
5335,dreams and reality
4258,drifting
1393,drill
7323,duel
5205,dungeon
8199,Dutch-Japanese co-production
8120,dynamic comic
4455,dysfunctional family
2882,dystopia
2630,Earth
2924,earthquake
6400,Easter Island
7231,Eastern Russia
3435,eating of humans
4386,eating Pocky
904,eccentric
2856,ecchi
2875,ecology
4642,economics
6075,educational
3867,ED variety
7081,Egypt
5405,Egyptian mythology
1063,elementary school
1609,elf
3159,emotions awaken superpowers
5814,endless battles
5952,end of the world
2735,enema
1446,energetic
3679,engaged to an alien
6034,Engrish
2420,enigmatic
3161,enjo-kousai
2733,enjoyable rape
4251,ensemble cast
3971,entertainment industry
3394,environmentalism
5466,epidemic
6399,episodic
5786,erotic asphyxiation
2803,erotic game
7952,erotic horror
2905,erotic torture
7990,espionage
4116,eternal blush
5584,euro-beat
2831,Europe
8056,European Middle Ages
3805,European stylised
4543,even the girls want her
3267,everybody dies
4150,everybody is nice
5732,evil american
3611,evil empire
3826,evil laugh
4021,evil military
4418,evil organization
3313,evolution
4112,excessive censoring
2730,exhibitionism
4417,existentialism
5781,exorcism
3546,experimental animation
4716,experimental technology
1864,extrasensory perception
4157,eyeball licking
5715,eye penetration
2968,faceless alien invasion
5515,faceless background characters
2902,facesitting
4055,facial distortion
780,fairy
3055,fairy tale
3129,fake relationship
7509,fall of a country
1869,familiar spirit
4577,family values
3606,family without father
5790,family without mother
6332,famine
4770,fan-made
2849,fantasy
3263,fashion
4446,faster-than-light travel
4588,fast-paced
3314,fate
4196,fate worse than death
2737,father-daughter incest
3538,felching
6268,fellatio
5851,female protagonist
2732,female rapes female
2894,female student
2893,female teacher
1563,femme fatale
6252,feud
2772,feudal warfare
7829,FFF threesome
6572,FFM threesome
3138,fictional language
2628,fictional location
7842,fictional religion
7452,fictional sport
3779,fight for peace
3411,fighting
3283,fighting dolls
3946,filmmaking
7229,fingering
2806,Finland
5838,fire
1046,firefighter
2781,first kiss
3103,first love
3018,first person view
1032,fishing
3703,fist fight
2728,fisting
4200,flash animation
4299,flashback
5518,flat chest jokes
2837,floating island
3941,flood
1994,flying
4830,flying boats
3876,folklore
5604,following one`s dream
3671,footage reuse
2890,foot fetish
2911,footjob
5794,forbidden love
6520,foreskin sex
3872,formerly one-gender school
2767,formula racing
4046,foursome
5547,frame story
2807,France
7270,French-Chinese co-production
7700,French-Japanese co-production
5915,French kiss
4884,French revolution
2862,friendship
7716,fulldome video
7895,fully black and white
3023,funny expressions
2429,futanari
2744,futa x female
2742,futa x futa
2743,futa x male
2626,future
3664,futuristic motorcycle
5835,Gainax bounce
8192,Gainax pose
3568,gambling
2800,game
3610,game references
2719,gang bang
4492,gang rape
5792,gangs
2107,ganguro
3645,ganime
6900,gaslamp fantasy
4469,gattai
6021,gender bender
2907,genetic modification
3269,genocide
7553,geology
4151,German suplex
2811,Germany
7838,ghetto
2535,ghost
4254,ghost hunting
505,giant
3798,giant insects
1774,gigantic breasts
5984,girly tears
5477,global warming
2694,glory hole
331,glowing eyes
2915,go
7141,goblin
5824,god is a girl
7644,gods world
5708,going berserk
6218,gokkun
5669,golden shower
4730,golem
2762,golf
4387,good vs evil
4096,gore
1903,gossip
6078,gotta catch them all
4335,governmental censorship
4078,grail in the garbage
3751,grandiose displays of wealth
8225,Greece
1178,greedy
5571,Greek mythology
1500,grimoire
7222,groping
6052,group love
4851,group suicide
3539,growing hair
5842,guerilla warfare
7067,Gulliver`s Travels
2619,gunfights
5874,guns are useless
6480,gun - TO BE SPLIT AND DELETED
3197,guro
658,gymnastics
6502,Hakkenden
6494,half-length episodes
6063,hallucination
3191,hanami
2693,handjob
859,hand puppet
3175,hand signs
3985,Han dynasty
4480,happy ending
3596,Happy Science
4667,hard science fiction
4198,hard work and guts
2378,hard-working
2859,harem
4095,harem member pov
2683,Hawaii
267,headstrong
4244,healthcare and medicine
4498,heart-warming
4413,heaven
5084,heavy metal music
2685,Heian period
2632,hell
2302,helpful
2854,henshin
3135,hero complex
8154,heroes party
6062,heroic sacrifice
1065,heterochromatic eyes
4274,hidden agenda
3192,hidden base
4182,hidden power
2747,hidden vibrator
5613,high-class world
2647,high fantasy
3816,high jump
2043,high school
7431,Himalayas
4269,hip-hop
5784,hirable protagonist
5111,Hiroshima
2641,historical
8182,historical asia ambience
7935,Historical characters assemble
3252,history is written by the victors
2678,Hokkaido
5911,Hong Kong
1157,horny nosebleed
2851,horror
1664,horse riding
4646,hospital
4383,hostage situation
2892,housewives
7872,huge breasts
3569,human-android love
4572,human-animal relationship
3815,human cannibalism
2636,human enhancement
3436,human experimentation
3017,human - god relationship
6050,human - non-human relationship
2775,humanoid alien
3369,human psyche
6010,human-replacement robots
6068,human sacrifice
2047,human weapon
1761,hunter
4235,Hyakunin Isshu
7831,hybrid of few species
2769,hyperspace mallet
7881,ice hockey
8082,Iceland
1074,ice skating
2226,idealist
2438,idol
5944,i got a crush on you
6596,Ikebukuro
4296,illness
1270,imaginary person
1783,immature
1396,immortality
3145,impact event
3834,impending death -- TO BE SPLIT AND DELETED
5003,imperialism
4350,imperial stormtrooper marksmanship academy
3092,important haircut
3976,impregnation
7148,impregnation with larvae
4193,improbable physics
6717,improvised dialogue
6066,improvised weapons -- TO BE SPLIT AND DELETED
2842,incest
5965,incomplete story
5188,inconclusive romantic plot
1179,indecisive
5091,India
4051,indifferent
2780,indirect kiss
6695,Indo-Japanese co-production
4656,infidelity
7176,Injuu Hentai Series
2755,inline skating
3953,in medias res
401,innocent
4464,ino-shika-chou
178,insane
3479,insane driving
3516,insects of doom
2309,insecure
8015,insomnia
5768,intact family
4517,inter-dimensional schoolgirl
5162,inter-dimensional travel
8163,internal breast shots
2707,internal shots
4811,internet
3227,introspection
6985,inverted gravity
6744,isekai
8016,Ishikawa prefecture
2631,island
5147,Istanbul
8010,Italian-Japanese co-production
2810,Italy
5767,Itano circus
3849,it`s time to duel
3792,iyashi-kei
2672,Japan
4048,Japanese mythology
7885,Japanese production
5649,jazz
5875,jealousy
2614,josei
3149,journalism
1681,journalist
3285,journey
2996,journey to the center of the mind
3752,Journey to the West
7579,Judeo-Christian mythology
1004,judo
3326,jumping very high
3841,Jump Super Anime Tour
2635,jungle
6072,just as planned
7,juujin
6870,kabuki
7565,Kagawa
6352,Kaguya-hime
7089,Kamakura
7132,Kamakura period
5994,kamikaze
1754,kappa
2909,karaoke
1796,karate
2500,karuta
1645,kendo
3447,ki blast
8176,kicked from party
3993,kidnapping
3818,kids in war
3379,killing criminals
2456,ki manipulation
8191,Kinder TV
2253,kitsune
1846,kodomo
5428,koi koi
2673,Korea
6640,Korean drama
7378,Korean-Japanese co-production
7603,Kumamoto
2679,Kyoto
4703,lacrosse
301,lactation
3908,lap pillow
7905,large breasts
4342,large-scale war
2928,Las Vegas
4148,late for school
2885,law and order
8168,less censored version
1471,lethal chef
8132,level system
7398,liberation of slaves
3772,library
4110,life force
3305,light-hearted
627,lingerie
2971,Lion Books
3684,literature
4999,Little Black Sambo
4199,live-action closing -- TO BE MOVED AND DELETED
5980,live-action imagery
7961,living doll
3650,living together with god
4069,living weapons
5988,living with the villain
2566,loli
2777,London
215,lonely
5561,lonely atmosphere
1539,loner
4538,long episodes
5409,longing
4558,long time span
4860,lost love
4521,lost technology
3101,lottery wheel
4431,love at first sight
3718,love between enemies
7941,love hotel visit
4761,love letter
2786,love polygon
