id,name,anime_count,description
"2615","18+ ограничено","1585","Это не совсем ""аудитория"". Хотя в некоторых аниме может присутствовать сексуальный контент, их всё равно нельзя считать порнографией. Эта категория предназначена только для случаев, когда контент явно не предназначен для несовершеннолетних. Различие проводится по тому, продается ли контент только взрослым."
"2689","1920-е годы","24","В 1920-е годы у нас были гангстеры, мафия, сухой закон и запрет на азартные игры. В то время правили Корлеоне."
"3895","1960-е годы","15","Действие аниме происходит в 1960-е годы."
"6097","3D CG анимация","852","Сокращение от ""трёхмерная компьютерная анимация"" или ""компьютерная графика"" (CGI). Традиционное 2D-искусство дополняется 3D-графикой, созданной с помощью программного моделирования. При правильном подходе это сочетание 3D в 2D-анимированном мире может быть очень красивым."
"6415","3D CG заставка","16","Закрывающая заставка выполнена в 3D CG анимации."
"2805","4-кома манга","221","Формат комикса, который обычно состоит из юмористических комикс-полосок в четырёх равных по размеру панелях, расположенных сверху вниз."
"7261","4-кома маньхуа","5",""
"7260","4-кома манхва","4",""
"7784","кража способностей","2",""
"7320","на борту самолёта","8","Действие происходит на борту самолёта, летящего по воздуху. Сюда не входят вертолёты или суда, которые могут погружаться под воду или летать в космос."
"7317","на борту корабля","19","Действие происходит на борту судна, которое плавает по поверхности моря, реки или подобного водоёма."
"2651","абсурдистский юмор","554","Сюрреалистический юмор — это форма юмора, основанная на преднамеренном нарушении причинно-следственных связей, создающая события и поведение, которые явно нелогичны. Конструкции сюрреалистического юмора обычно включают в себя странные сопоставления, алогизмы, иррациональные или абсурдные ситуации и выражения бессмыслицы. Юмор возникает из-за опровержения ожиданий аудитории, так что удовольствие основано на... [далее]"
"5850","невероятно могущественный ученический совет","72","Ученический совет — это управляемый учениками орган внутри школы, который занимается административными делами, обычно работая в партнёрстве с руководством, персоналом и родителями. В реальной жизни ученический совет не имеет реальной власти, но во многих аниме/манге им разрешено отменять решения почти всех остальных."
"6903","акробатические прыжки в воду","1","Акробатические прыжки в воду, или просто прыжки в воду, — это вид спорта, заключающийся в прыжках или падении в воду с трамплина или вышки, обычно с выполнением акробатических элементов. Прыжки в воду — это признанный во всем мире вид спорта, входящий в программу Олимпийских игр. Кроме того, неструктурированные и неконкурентные прыжки в воду являются развлекательным времяпрепровождением. Не путать с подводным плаванием."
"2280","акробатика","3","Акробатика — это выполнение необычайных человеческих трюков на баланс, ловкость и координацию движений."
"2841","экшен","4037","Аниме в жанре экшен обычно представляют собой довольно прямолинейную историю о противостоянии хороших парней и плохих парней, где большинство споров разрешается с применением физической силы. Часто содержит много стрельбы, взрывов и драк."
"2802","экшен-игра","86","Любая игра, где рефлексы являются ключом к геймплею, насилие — опционально."
"7075","экранизировано в японском фильме","226","Это аниме является новым оригинальным произведением, и оно было адаптировано в японский фильм. В чрезвычайно редких случаях конкретный эпизод нового оригинального аниме также может быть адаптирован."
"4224","адаптировано в дораму","128","Это аниме является новым оригинальным произведением и было адаптировано в дораму. JDrama (японская дорама), также называемая ""тереби дорама"" (""телевизионная драма"") или сокращенно ""дорама"", — это японская телевизионная серия в жанре живого действия. Япония ежегодно производит множество драматических сериалов самых разных жанров. В чрезвычайно редких случаях конкретный эпизод нового оригинального аниме также может быть адаптирован."
"7330","адаптировано в мангу","16","Это аниме является новым оригинальным произведением и было адаптировано в мангу. В чрезвычайно редких случаях конкретный эпизод нового оригинального аниме также может быть адаптирован."
"7331","адаптировано в роман","7","Это аниме является новым оригинальным произведением и было адаптировано в роман. В чрезвычайно редких случаях конкретный эпизод нового оригинального аниме также может быть адаптирован."
"7332","адаптировано в видеоигру","10","Это аниме является новым оригинальным произведением и было адаптировано в видеоигру. В чрезвычайно редких случаях конкретный эпизод нового оригинального аниме также может быть адаптирован."
"3202","обожающий фан-клуб","60","Персонаж, группа персонажей или организация считаются настолько крутыми, что в их честь образуется обожающий фан-клуб для обожествления. Если персонаж достаточно крут, мгновенный фан-клуб может появиться практически за одну ночь (то есть в течение нескольких эпизодов после его появления), хотя объект восхищения обычно испытывает смешанные чувства по поводу всего этого."
"5626","взрослые бесполезны","49","Для случаев, когда взрослые не могут сделать ничего правильно."
"2850","приключения","1282","Приключения — это захватывающие истории, призванные подарить зрителю насыщенный действиями, энергичный опыт. В отличие от преобладающего акцента на насилии и драках, зритель приключений может пережить события через путешествия, завоевания, исследования, создание империй, борьбу и ситуации, с которыми сталкиваются главные герои. Приключенческие фильмы часто, но не всегда, происходят в исторический период."
"2835","Африка","52","Второй по величине континент в мире и место рождения человеческого вида, Африка — это место огромного разнообразия. Она была колыбелью империй и находилась под властью иностранных держав, а с начала XXI века переживает быстрые изменения и экономический бум, идущие рука об руку с бесчеловечным уровнем бедности."
"5914","загробная жизнь","49","Загробная жизнь — это продолжение существования важной части личности или сознания индивидуума после смерти тела. Когда люди продолжают существовать после смерти своих физических тел, они могут продолжать взаимодействовать с миром живых и/или сохранять свои воспоминания. Для них возможно начать новую жизнь без физического тела в мире духов, и они... [далее]"
"7642","мир загробной жизни","10",""
"5651","против судьбы","59","К чёрту судьбу и всех остальных, кто пытается их обескуражить; они не собираются исполнять пророчество о разрушении мира только потому, что они потомки Большого Злодея, или становиться жертвенным магом. Они собираются стать теми, кем хотят быть. (источник: TV Tropes)"
"4951","изменение возраста","25","Потому что кому не хотелось бы снова стать молодым/старым."
"6073","роман с разницей в возрасте","188","Представлен роман между людьми со значительной разницей в возрасте. В зависимости от того, насколько велика разница в возрасте и какое общество показано, это может считаться табу. В то время как термины ""лоликон"" и ""сётакон"", часто используемые в отношении аниме и его фэндома, ограничиваются физическим или эротическим влечением к сексуально преждевременно развившимся девочкам или мальчикам соответственно, этот тег расширяется до платонических романов и других возрастных диапазонов."
"5307","агрессивные растения","29","Растения, которые могут на самом деле атаковать людей."
"5973","сельское хозяйство","41","Сельское хозяйство — это возделывание животных, растений, грибов и других форм жизни для получения пищи, волокна, биотоплива, лекарственных и других продуктов, используемых для поддержания и улучшения жизни человека."
