"id","name","animeCount","description","name_id"
"7885","японское производство","14089","","Japanese production"
"2853","комедия","4429","Аниме, центральный конфликт которого вызывает смешные результаты. Эти истории построены на забавных персонажах, ситуациях и событиях. Комедийное аниме наполнено юмором и призвано вызывать смех у аудитории. Японский юмор может показаться западному зрителю немного странным, поэтому, если вы новичок в этом виде юмора, просто потерпите; скорее всего, он вам понравится, если вы поклонник других видов комедии.","comedy"
"2630","Земля","4347","Земля — третья планета от Солнца. Это шар горячей грязи, но на поверхности достаточно холодно, поэтому большинство из нас живёт на ней (или должно жить). Для её обитателей наша планета — их дом, поэтому, как вид, мы дорожим ею до такой степени, что многие культуры даже сегодня обожествляют её. Земля — главное место действия большинства произведений, но многие названия разворачиваются в других местах, например, в несвязанных фэнтезийных мирах... [ещё]","Earth"
"2672","Япония","4111","Япония — суверенное островное государство в Восточной Азии. Расположенная в Тихом океане, она лежит у восточного побережья азиатского материка и простирается от Охотского моря на севере до Восточно-Китайского моря и Китая на юго-западе.","Japan"
"2841","экшен","4037","Аниме в жанре экшен обычно представляют собой довольно прямолинейную историю о противостоянии хороших парней и плохих парней, где большинство споров разрешается с применением физической силы. Часто содержит много стрельбы, взрывов и драк.","action"
"2798","манга","3916","Манга — это жизненная сила, которая движет индустрией аниме. Всё и его мать основаны на манге. Однако! Бывают исключения, когда манга не была основой для аниме. См. также маньхуа и манхва.","manga"
"2834","Азия","3580","Азия — крупнейший и самый густонаселенный континент Земли. Азия занимает площадь 44 579 000 квадратных километров. Континент, который долгое время был домом для большинства человеческого населения, был местом многих первых цивилизаций. Азия известна не только своими большими размерами и населением, но и густыми и крупными поселениями, а также обширными малонаселенными регионами на континенте с населением 4,4 миллиарда человек.","Asia"
"2749","обнажённость","3417","Обнажённость — это состояние, когда на человеке нет одежды, и обнажается кожа или интимные части тела. БЕЗ ФРОНТАЛЬНОЙ НУДИЗМЫ (видимых гениталий) = 1.5 ЗВЕЗДЫ ИЛИ МЕНЕЕ. Особенно откровенные фансервисные шоу часто показывают своих персонажей без одежды, хотя часто прячут гениталии с помощью таких дополнений, как пар.","nudity"
"2849","фэнтези","2678","Произведение, основанное на вымысле или фантазии, особенно затрагивающее сверхъестественные элементы и темы.","fantasy"
"5939","В РОЛИКАХ ОТСУТСТВУЮТ","2034","Важные персонажи отсутствуют, частично или полностью. Это включает базовую информацию (имя, пол, изображение), диапазон эпизодов появления, сэйю и/или теги.","CAST MISSING"
"2856","этти","1902","Этти, или etchi (エッチ), — распространённое японское слово, означающее «неприличный», «пошлый», «резвый» или «сексуальный»; его использование можно сравнить с английским словом «naughty». Среди западных фанатов аниме этот термин используется, когда неявный сексуальный контент, такой как откровенная одежда или нагота, является заметным. В японском языке, однако, это общий термин для всего, что так или иначе сексуально по своей природе, мягкого или иного.","ecchi"
"2797","новое","1830","Не основано ни на чём, история является новым произведением, обычно придуманным людьми, участвующими в создании аниме. Обычно, если указан оригинальный источник (原作), то им будет студия, режиссёр или другие члены производственной команды.","new"
"3955","ОПИСАНИЕ ОТСУТСТВУЕТ","1605","Описание для этой записи отсутствует. Например, сюжет, биография... Пожалуйста, помогите, добавив его, и удалите этот тег после этого. Спасибо.","DESCRIPTION MISSING"
"2615","18+ ограничено","1585","Это не совсем ""аудитория"". Хотя в некоторых аниме может присутствовать сексуальный контент, их всё равно нельзя считать порнографией. Эта категория предназначена только для случаев, когда контент явно не предназначен для несовершеннолетних. Различие проводится по тому, продается ли контент только взрослым.","18 restricted"
"7905","большая грудь","1543","Большая грудь — это грудь, значительно больше средней, как у некоторых реальных девочек-подростков или взрослых женщин. Она больше средней груди и меньше огромной груди. Примечание: У этого тега много записей аниме/персонажей, которые нужно перенести в новые теги средней и огромной груди. Пожалуйста, добавьте соответствующий тег и удалите этот из соответствующего аниме/персонажа после этого.","large breasts"
"2864","повседневная жизнь","1507","Проделки главных героев происходят не в экзотической обстановке или времени, а в повседневной жизни. Повседневная жизнь — это в основном синоним всего нормального, повторяющегося и банального, что происходит с обычным человеком.","daily life"
"2800","игра","1496","Основано на интерактивной (даже минимально) форме развлекательного программного обеспечения, обычно доступного для ПК, консолей или аркадных автоматов.","game"
"3040","главный герой мужского пола","1475","У этого аниме главный герой мужского пола.","male protagonist"
"2094","магия","1430","Магия — это искусство предполагаемого манипулирования аспектами реальности либо сверхъестественными средствами, либо через знание неизвестных оккультных законов.","magic"
"2799","роман","1348","Роман — это относительно длинное повествовательное художественное произведение, обычно написанное в прозе и обычно издаваемое в виде книги. Манга, комиксы или визуальные романы не подходят под это описание и не считаются романами; однако включение небольшого количества иллюстраций всё ещё допустимо, что означает, что ранобэ считаются романами.","novel"
"6152","китайское производство","1331","","Chinese production"
"2850","приключения","1282","Приключения — это захватывающие истории, призванные подарить зрителю насыщенный действиями, энергичный опыт. В отличие от преобладающего акцента на насилии и драках, зритель приключений может пережить события через путешествия, завоевания, исследования, создание империй, борьбу и ситуации, с которыми сталкиваются главные герои. Приключенческие фильмы часто, но не всегда, происходят в исторический период.","adventure"
"2844","тоска","1280","Присутствует чувство общего дискомфорта и беспокойства из-за либо незначительных, либо более серьезных причин, часто сопровождаемое депрессией. Предупреждение: может содержать большое количество задумчивости и вздохов. Этимология: ""Angst"" — немецкое слово, означающее страх или тревогу.","angst"
"2638","меха","1211","Меха по-японски в основном означает механические вещи; всё, от электрического венчика или автомобиля до космического корабля или робота. Однако здесь мы ограничиваемся более экзотическими вещами, обычно называемыми аниме про меха: роботы, управляемые человеком или нет, и им подобные.","mecha"
"2043","старшая школа","1184","Средняя школа, которая в Японии обычно включает 10–12 классы, а в Америке — 9–12 классы.","high school"
"6268","фелляция","1153","Фелляция — это оральный секс, совершаемый на пенисе. Он может выполняться для стимуляции мужского оргазма и эякуляции спермы или использоваться в качестве прелюдии перед половым актом.","fellatio"
"2628","вымышленное место","1149","Вымышленное место управляется другими правилами, чем ваш обычный мир: вымышленные миры, компьютерно-сгенерированные миры, фэнтезийные миры, магические миры, параллельные миры, доступные через порталы, и т.д. Фэнтезийный мир обычно включает магию или магические способности и/или средневековую тематику. Мир, который в целом разделяет характеристики и/или в целом неотличим от реа... [далее]","fictional location"
"2888","взросление","1091","В строгом смысле «взросление» описывает переход молодого человека от подросткового возраста к взрослой жизни. В аниме этот термин используется в более общем смысле, где главные герои должны столкнуться с вызовом, принять важное решение в своей жизни, взять на себя ответственность или извлечь урок, и, преодолев эти препятствия, они достигают более высокого уровня зрелости.","coming of age"
"5851","женский протагонист","1088","В аниме есть женский главный герой.","female protagonist"
"2862","дружба","1030","Чувство доверия, доброты и дружбы между группой, например, старшеклассников, является центральной темой этого аниме.","friendship"
"2625","прошлое","1012","Аниме, действие которого происходит в прошлом или явно кажется происходящим в прошлом в случае альтернативной вселенной. Эта категория почти всегда должна сочетаться с одной из её подкатегорий, потому что прошлое может быть либо изображением исторического события(й), либо нет, и в этом случае это было бы альтернативным прошлым.","past"
"2626","будущее","998","Аниме, подпадающие под категорию «будущее», — это те, в которых общество могло произойти от нашего. В большинстве случаев это должно идти рука об руку с научной фантастикой, поскольку мы ожидаем, что будущее будет состоять из передовых технологий, однако в случае, когда в истории явно указано, что действие аниме происходит «через х лет в будущем», уровень технологий не имеет значения, пока он... [подробнее]","future"
"2705","кремпай","956","Акт, когда мужчина эякулирует внутрь влагалища девушки, оставляя сперму вытекающей из неё.","creampie"
"2648","современное фэнтези","948","Магия и сверхъестественные существа существуют тайно в том, что обычно считается реальным миром. Такие элементы могут происходить из другого мира. Истории, где современный персонаж путешествует в альтернативный фэнтезийный мир, не считаются современным фэнтези.","contemporary fantasy"
"4064","CGI","934","Компьютерная графика (CGI) или компьютерная анимация — это искусство создания движущихся изображений с помощью компьютеров. Все чаще она создаётся с помощью 3D-компьютерной графики, хотя 2D-компьютерная графика всё ещё широко используется для стилистических нужд, низкой пропускной способности и более быстрого рендеринга в реальном времени.","CGI"
"2655","пародия","906","Аниме, которые имитируют другие истории (могут быть из телевидения, кино, книг, исторических событий, ...) для комического эффекта, преувеличивая стиль и меняя содержание оригинала. Также известны как спародии. Это также может относиться к тому, когда целые элементы одного произведения вырываются из их контекста и повторно используются.","parody"
"2803","эротическая игра","859","Эротическая игра (эроге) — это японская видео- или компьютерная игра, содержащая эротический контент, обычно в форме аниме-арта. На английском эроге часто называют хентай-играми в соответствии со сленговым значением слова «хентай» в английском языке. Иногда это сокращается до H-игр. В Японии эроге также называют играми 18+. Большинство эротических игр — это визуальные новеллы или симуляторы свиданий, но не ограничиваются ими.","erotic game"
"6097","3D CG анимация","852","Сокращение от ""трёхмерная компьютерная анимация"" или ""компьютерная графика"" (CGI). Традиционное 2D-искусство дополняется 3D-графикой, созданной с помощью программного моделирования. При правильном подходе это сочетание 3D в 2D-анимированном мире может быть очень красивым.","3D CG animation"
"2282","боевые искусства","840","Различные виды спорта или навыки, в основном японского происхождения, которые возникли как формы самообороны или нападения, такие как дзюдо, карате и кэндо.","martial arts"
"2722","догги-стайл","834","Трахай её сзади и используй её сиськи как руль!","doggy style"
"2872","преступность","825","Подпольный мир, о котором мы здесь говорим, не следует путать с местом, куда, как полагают, люди попадают после смерти, а с общим термином для организованной преступности. Это тёмный мир, неизвестный большинству людей, где ежедневно происходят незаконные вещи, такие как убийства, контрабанда, торговля наркотиками и подобное. Группы, известные своей деятельностью в этом мире, — это, например, мафия или якудза.","crime"
"2619","перестрелки","825","Бои, в которых две или более сторон стреляют друг в друга из огнестрельного оружия.","gunfights"
"2617","выкрикивание названий атак","806","Если вы можете сделать что-то более впечатляющее, чем просто нанести удар, ваша(и) атака(и) должны иметь столь же впечатляющее название. Более того, вы должны выкрикивать его, запуская атаку. Неважно, является ли это приёмом боевых искусств, магическим заклинанием или вашим секретным супероружием, если вы не можете назвать его имя, оно просто не так круто или эффективно.","calling your attacks"
"2918","куннилингус","804","Куннилингус — это оральный сексуальный акт, совершаемый на женщине. Он включает использование партнёром рта, губ и языка для стимуляции клитора и вульвы женщины. Женщина может получать куннилингус как часть прелюдии перед половым актом, или партнёр может продолжать, пока женщина не достигнет оргазма. Термин происходит от латинских слов для вульвы (cunnus) и языка (lingua).","cunnilingus"
"2826","панцу","801","«Трусики» на японском. Виды снизу в различных позах типичны, однако принимаются все формы частично или полностью обнажённых трусиков. Оголение обычно случайное, но может быть и преднамеренным. Виды панцу могут быть эксклюзивны для зрителя, не затрагивая персонажей. Бикини — это не панцу.","pantsu"
"4096","жестокость","792","В сериале появляются очень жестокие сцены. Не удивляйтесь, если увидите людей, умирающих жестоким и мучительным образом. О, и с большим количеством крови, разбрызгивающейся повсюду.","gore"
"2646","демон","789","В западном фольклоре демонов часто описывают как приспешников из ада, обычно известных тем, что нападают на людей и пожирают их плоть или вселяются в тела тех, у кого слабая душа. В восточном фольклоре, с другой стороны, они, как правило, являются сверхъестественными, часто, но не всегда, злонамеренными существами, которые могут быть скорее озорными, чем действительно злыми, или просто сверхъестественными духами без определённой направленности.","demon"
"36","военные","788","Военные, также известные как вооружённые силы, — это силы, уполномоченные и имеющие законное право применять смертоносную силу для поддержки интересов государства и его граждан. Задача военных обычно определяется как защита государства и его граждан и ведение войны против иностранных держав. Военные также могут иметь дополнительные функции в обществе, включая строительство, чрезвычайные... [ещё]","military"
"2859","гарем","786","Три или более персонажей, обычно женского пола, находятся под влиянием одного персонажа, обычно мужского пола. Их взаимодействия романтически или сексуально окрашены. Женские персонажи часто сильно опираются на стереотипные архетипы. Сексуальные тона применяются к поведению главного героя и изображению членов. Главного героя часто физически наказывают за его поведение. Гарем может быть лишь дополнением к существующему... [подробнее]","harem"
"2618","сопутствующий ущерб","783","Обычно ориентированное на действие аниме показывает не только большое количество боёв и использование оружия, но и сопутствующее массовое разрушение имущества, часто из-за неспособности главных героев правильно целиться. Пример: сражающиеся меха в густонаселённом городском районе.","collateral damage"
"2786","любовный многоугольник","757","Любовный многоугольник относится к романтическим отношениям с участием n людей. Хотя любовный треугольник не ограничивается только гетеросексуальными отношениями, в аниме он обычно имеет дело с двумя девушками, которым нравится один парень, и наоборот.","love polygon"
"4316","убийство","750","Привести к чьей-либо смерти добровольным действием. Независимо от того, исходит ли оно из рук самого убийцы или путём подвергания жертвы опасным для жизни обстоятельствам, результат предсказуем и желаем преступником. Тот, кто убивает как свою профессию/работу, является наёмным убийцей.","murder"
"2851","ужасы","740","Киножанр ужасов характеризуется попыткой заставить зрителя испытать страх, ужас, террор или отвращение. Часто их сюжеты включают вторжение злой силы, события или персонажа, иногда сверхъестественного происхождения, в обыденный мир и его последствия.","horror"
"2894","ученица","738","Практически исключительно для хентай-шоу, если только этти-шоу не содержит подразумеваемого секса и/или явных признаков обнажёнки. Персонаж считается учеником, если он ходит в школу, неважно, в старшую школу, колледж или на домашнее обучение, но он должен быть подходящего возраста для ученика; домохозяйка, посещающая колледж, не должна попадать в эту категорию.","female student"
"4614","наррация","710","Наиболее распространённый пример — это голос, либо одного из персонажей, либо совершенно не связанный, который появляется в начале эпизода, чтобы дать краткое содержание или введение, и в конце эпизода для завершения или для превью, намекающего на то, чего ожидать дальше.","narration"
"2706","мастурбация","708","Ручная эротическая стимуляция гениталий или других эрогенных зон, часто до оргазма, либо самостоятельно, либо с партнёром.","masturbation"
"2717","анальный секс","704","Содомия, буггери, секс в задницу, кукурузные дырки или полька в сточной канаве. Называйте это как хотите, но кто-то получает что-то засунутое туда, куда солнце не светит.","anal"
"3148","открытый финал","696","Финал этого аниме оставлен на усмотрение зрителя. Нет явных намёков на определённый исход истории, представлено несколько возможностей без завершения, или история резко заканчивается без объяснения причин. Также может быть место для продолжения.","open-ended"
"2896","лишение девственности","692","Лишение девственности — это акт разрыва девственной плевы у женщины, которая ещё не имела вагинального полового акта. Этот тег может применяться только к порнографическим аниме, в которых показывается, как у женщины лишают девственности; чаще всего можно понять, что она была девственницей, потому что во время секса или после него из её влагалища видна кровь, но её слова на этот счёт также считаются действительными.","deflowering"
"3023","смешные выражения лиц","680","Выражения лиц персонажей могут меняться так быстро или неожиданно искажаться, что последует веселье.","funny expressions"
"2874","катастрофа","670","Катастрофа — это крупномасштабная ситуация, которая причиняет большой ущерб или угрозу жизни, здоровью, имуществу, обществу или окружающей среде, независимо от её источника или причины. Катастрофы имеют существенные, долговременные негативные последствия, и для их устранения или смягчения необходимо приложить большие усилия.","disaster"
"5835","тряска от Gainax","645","Термин, который стал описывать часто преувеличенную, очень болтающуюся, плавную и тщательно детализированную анимацию подпрыгивающей женской груди. Термин берёт своё начало в OVA «Top o Nerae! — Gunbuster» (1988), первого OVA от Gainax, в котором тряска от Gainax в изобилии встречается у трёх женских персонажей: Норико, Кадзуми и Джунг.","Gainax bounce"
"2729","БДСМ","641","Форма ""извращённого секса"". Аббревиатура БДСМ происходит от BD (бондаж и дисциплина), DS (доминирование и подчинение) и SM (садизм и мазохизм). БДСМ обычно характеризуется тем, что одна сторона является главной (активной) над другой (пассивной), причём каждая сторона может состоять из одного или нескольких участников. Плети, цепи, наручники, верёвки, повязки на глаза являются обычными элементами БДСМ.","BDSM"
"2794","музыка","619","Музыкальное аниме обычно вращается вокруг людей, связанных с музыкой в их повседневной жизни. Кроме того, они часто придерживаются определённых жанровых условностей: акцент на тренировках и практике в подготовке к соревнованиям, желание персонажей к самосовершенствованию и стремление к конкретной цели. Это похоже на категорию «Спорт».","music"
"2910","отказ родителей","605","В Японии распространён обычай, когда родители оставляют своих детей одних дома и отправляются в пожизненное путешествие по миру, как только им исполняется 14 лет, иногда даже раньше.","parental abandonment"
"6494","полнометражные эпизоды","601","Полнометражные эпизоды — это обычные эпизоды, которые несколько короче стандартной длины. Сюда входят эпизоды длиной от 11 до 20 минут; шоу с эпизодами продолжительностью до 10 минут включительно являются короткими эпизодами.","half-length episodes"
